Livro;URL;Valor
Combo de Livros Clássicos da Terra Média – Versão...;https://nerdstore.com.br/produto/combo-de-livros-classicos-da-terra-media-versao-exclusiva-nerdstore/;R$ 293,90
Box Trilogia O Senhor Dos Anéis – Versão Padrão;https://nerdstore.com.br/produto/box-trilogia-o-senhor-dos-aneis-versao-padrao/;R$ 199,00
Kit Luxo Trilogia O Senhor Dos Anéis – Versão...;https://nerdstore.com.br/produto/kit-luxo-trilogia-o-senhor-dos-aneis-versao-exclusiva-nerdstore/;R$ 399,00
Trilogia de Livros – O Senhor Dos Anéis – Versão...;https://nerdstore.com.br/produto/trilogia-de-livros-o-senhor-dos-aneis-versao-exclusiva-nerdstore/;R$ 219,00
Livro J.R.R. Tolkien Uma Biografia – Humphrey...;https://nerdstore.com.br/produto/j-r-r-tolkien-uma-biografia/;R$ 54,90
Livro O Hobbit – Edição Simples + Pôster – J.R.R...;https://nerdstore.com.br/produto/livro-o-hobbit-edicao-simples-poster/;R$ 59,90
O Hobbit: Livro Edição Exclusiva em Tecido com...;https://nerdstore.com.br/produto/livro-o-hobbit-edicao-exclusiva/;R$ 74,90
Livro A Queda De Gondolin – J.R.R Tolkien;https://nerdstore.com.br/produto/livro-a-queda-de-gondolin-j-r-r-tolkien-harpercollins/;R$ 54,90
Livro Beren E Lúthien – J.R.R Tolkien;https://nerdstore.com.br/produto/beren-e-luthien/;R$ 54,90
Combo O Hobbit + O Silmarillion – J.R.R Tolkien;https://nerdstore.com.br/produto/combo-o-hobbit-e-o-silmarillion/;R$ 134,80
Combo Tolkien Especial Nerdcast;https://nerdstore.com.br/produto/combo-tolkien-especial-nerdcast/;R$ 189,90
Livro O Silmarillion – J.R.R. Tolkien;https://nerdstore.com.br/produto/o-silmarillion/;R$ 64,90
